theta_deg,intensity_cd
0.00,598.914615
1.00,598.764437
2.00,598.244324
3.00,597.624040
4.00,596.984409
5.00,596.337706
6.00,595.687472
7.00,595.035473
8.00,594.382623
9.00,593.739238
10.00,593.534565
11.00,593.733864
12.00,594.366508
13.00,595.028199
14.00,595.690073
15.00,596.351892
16.00,597.014925
17.00,597.679650
18.00,598.345155
19.00,599.009460
20.00,599.252033
21.00,599.063984
22.00,598.427500
23.00,597.775191
24.00,597.123150
25.00,596.471302
26.00,595.819578
27.00,595.168453
28.00,594.517906
29.00,593.866844
30.00,592.903637
31.00,591.539605
32.00,589.810141
33.00,588.081075
34.00,586.351407
35.00,584.622266
36.00,582.893449
37.00,581.166523
38.00,579.438616
39.00,577.703187
40.00,575.055732
41.00,570.795804
42.00,565.411250
43.00,560.024418
44.00,554.642176
45.00,549.273603
46.00,543.870479
47.00,538.457299
48.00,533.070024
49.00,527.681857
50.00,522.296267
51.00,516.912162
52.00,511.537648
53.00,506.117704
54.00,500.719530
55.00,495.330715
56.00,489.940895
57.00,484.554469
58.00,479.182852
59.00,473.755361
60.00,468.631448
61.00,464.656568
62.00,461.065428
63.00,457.475749
64.00,453.890843
65.00,450.272386
66.00,446.678106
67.00,443.084048
68.00,439.491163
69.00,435.904072
70.00,431.383689
71.00,419.634370
72.00,406.440637
73.00,393.246744
74.00,380.066456
75.00,366.866024
76.00,353.611861
77.00,340.412593
78.00,327.218122
79.00,314.027497
80.00,300.333550
81.00,272.235781
82.00,242.827930
83.00,213.425641
84.00,184.031516
85.00,154.731436
86.00,125.136175
87.00,95.727704
88.00,66.319073
89.00,36.910329
90.00,6.001801
91.00,5.431031
92.00,4.830847
93.00,4.230663
94.00,3.630478
95.00,3.026478
96.00,2.428498
97.00,1.828596
98.00,1.228524
99.00,0.628336
100.00,0.048729
101.00,0.000000
102.00,0.000000
103.00,0.000000
104.00,0.000000
105.00,0.000000
106.00,0.000000
107.00,0.000000
108.00,0.000000
109.00,0.000000
110.00,0.000000
111.00,0.000000
112.00,0.000000
113.00,0.000000
114.00,0.000000
115.00,0.000000
116.00,0.000000
117.00,0.000000
118.00,0.000000
119.00,0.000000
120.00,0.000000
121.00,0.000000
122.00,0.000000
123.00,0.000000
124.00,0.000000
125.00,0.000000
126.00,0.000000
127.00,0.000000
128.00,0.000000
129.00,0.000000
130.00,0.000000
131.00,0.000000
132.00,0.000000
133.00,0.000000
134.00,0.000000
135.00,0.000000
136.00,0.000000
137.00,0.000000
138.00,0.000000
139.00,0.000000
140.00,0.000000
141.00,0.000000
142.00,0.000000
143.00,0.000000
144.00,0.000000
145.00,0.000000
146.00,0.000000
147.00,0.000000
148.00,0.000000
149.00,0.000000
150.00,0.000000
151.00,0.000000
152.00,0.000000
153.00,0.000000
154.00,0.000000
155.00,0.000000
156.00,0.000000
157.00,0.000000
158.00,0.000000
159.00,0.000000
160.00,0.000000
161.00,0.000000
162.00,0.000000
163.00,0.000000
164.00,0.000000
165.00,0.000000
166.00,0.000000
167.00,0.000000
168.00,0.000000
169.00,0.000000
170.00,0.000000
171.00,0.000000
172.00,0.000000
173.00,0.000000
174.00,0.000000
175.00,0.000000
176.00,0.000000
177.00,0.000000
178.00,0.000000
179.00,0.000000
180.00,0.000000
